,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,dte,T,option_type
1736,AAPL260618P00260000,2025-02-07 15:53:19+00:00,260.0,37.15,0.0,0.0,0.0,0.0,5.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1737,AAPL260618P00265000,2025-01-31 14:53:36+00:00,265.0,33.2,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1738,AAPL260618P00270000,2025-01-21 15:04:19+00:00,270.0,50.83,0.0,0.0,0.0,0.0,22.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1739,AAPL260618P00275000,2025-02-05 15:24:17+00:00,275.0,49.05,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1740,AAPL260618P00280000,2025-02-05 15:18:11+00:00,280.0,53.03,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1741,AAPL260618P00285000,2025-01-21 15:22:05+00:00,285.0,64.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1742,AAPL260618P00290000,2025-02-03 17:46:45+00:00,290.0,64.41,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1743,AAPL260618P00300000,2025-02-05 15:25:29+00:00,300.0,71.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1744,AAPL260618P00310000,2024-12-11 16:45:57+00:00,310.0,61.2,78.5,81.0,0.0,0.0,2.0,1.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1745,AAPL260618P00320000,2024-12-03 20:12:55+00:00,320.0,78.05,87.8,91.5,0.0,0.0,,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1746,AAPL260618P00340000,2024-12-16 05:11:34+00:00,340.0,109.74,110.6,113.65,0.0,0.0,4.0,0.0,0.20703917968749996,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1747,AAPL260618P00350000,2024-11-29 15:43:14+00:00,350.0,113.76,118.25,120.9,0.0,0.0,2.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1748,AAPL260618P00370000,2025-01-06 15:17:33+00:00,370.0,124.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000003e-05,True,REGULAR,USD,2026-06-18,492,1.347945205479452,Put
1810,AAPL261218P00005000,2025-01-07 14:40:21+00:00,5.0,0.02,0.0,0.0,0.0,0.0,1.0,26.0,0.500005,False,REGULAR,USD,2026-12-18,675,1.8493150684931507,Put
1811,AAPL261218P00010000,2025-01-07 16:16:46+00:00,10.0,0.02,0.0,0.0,0.0,0.0,1.0,116.0,0.500005,False,REGULAR,USD,2026-12-18,675,1.8493150684931507,Put
1812,AAPL261218P00015000,2025-02-04 18:09:20+00:00,15.0,0.06,0.0,0.0,0.0,0.0,1.0,0.0,0.500005,False,REGULAR,USD,2026-12-18,675,1.8493150684931507,Put
1813,AAPL261218P00020000,2024-11-21 14:59:47+00:00,20.0,0.09,0.06,0.11,0.0,0.0,5.0,26.0,0.6875031250000001,False,REGULAR,USD,2026-12-18,675,1.8493150684931507,Put
